 customer_id |   title   |   first_name    |      last_name       | suffix |                   email                   | gender |   ip_address    |    phone     |         street_address          |           city            | state | postal_code |      latitude      |      longitude      |     date_added      | product_id |         model         | year | product_type | base_msrp  | production_start_date | production_end_date | dealership_id | high_savings 
          12 | Mr        | Tyne            | Duggan               |        | tdugganb@soup.io                          | F      | 13.29.231.228   |              |                                 |                           |       |             |                    |                     | 2017-10-25 00:00:00 |          8 | Bat Limited Edition   | 2017 | scooter      |     699.99 | 2017-02-15 00:00:00   |                     |            17 |            0
          12 | Mr        | Tyne            | Duggan               |        | tdugganb@soup.io                          | F      | 13.29.231.228   |              |                                 |                           |       |             |                    |                     | 2017-10-25 00:00:00 |          7 | Bat                   | 2016 | scooter      |     599.99 | 2016-10-10 00:00:00   |                     |            -1 |            0
          13 |           | Gannon          | Braker               |        | gbrakerc@mozilla.org                      | M      | 69.199.173.60   | 619-666-7606 | 1 Columbus Drive                | San Diego                 | CA    | 92191       |            33.0169 |            -116.846 | 2017-02-09 00:00:00 |          7 | Bat                   | 2016 | scooter      |     599.99 | 2016-10-10 00:00:00   |                     |            -1 |            0
          15 |           | Nichols         | Espinay              |        | nespinaye@51.la                           | M      | 243.147.74.203  | 818-658-6748 | 43 Anthes Road                  | Brea                      | CA    | 92822       |            33.9187 |           -117.8892 | 2014-07-05 00:00:00 |          5 | Blade                 | 2014 | scooter      |     699.99 | 2014-06-23 00:00:00   | 2015-01-27 00:00:00 |            -1 |            0
          19 |           | Ernie           | Maiklem              |        | emaiklemi@fema.gov                        | M      | 61.99.207.147   | 480-165-2344 | 906 East Plaza                  | Phoenix                   | AZ    | 85045       |            33.3022 |           -112.1226 | 2014-06-18 00:00:00 |          5 | Blade                 | 2014 | scooter      |     699.99 | 2014-06-23 00:00:00   | 2015-01-27 00:00:00 |            -1 |            0
          21 |           | Pryce           | Geist                |        | pgeistk@nasa.gov                          | M      | 252.5.12.65     | 801-275-7520 |                                 |                           |       |             |                    |                     | 2014-10-04 00:00:00 |          3 | Lemon                 | 2013 | scooter      |     499.99 | 2013-05-01 00:00:00   | 2018-12-28 00:00:00 |            -1 |            0
          22 |           | Idelle          | Mainz                |        | imainzl@163.com                           | F      | 252.76.188.90   | 617-681-6666 | 8 Mccormick Way                 | Boston                    | MA    | 02208       |            42.3389 |            -70.9196 | 2012-06-22 00:00:00 |          7 | Bat                   | 2016 | scooter      |     599.99 | 2016-10-10 00:00:00   |                     |            20 |            0
          23 |           | Fara            | Heatherington        |        | fheatheringtonm@accuweather.com           | F      | 11.194.152.78   |              | 35586 Eastwood Point            | Dallas                    | TX    | 75260       |            32.7673 |            -96.7776 | 2016-01-05 00:00:00 |          3 | Lemon                 | 2013 | scooter      |     499.99 | 2013-05-01 00:00:00   | 2018-12-28 00:00:00 |            -1 |            0
          24 |           | Barbi           | Lanegran             |        | blanegrann@123-reg.co.uk                  | F      | 205.42.186.41   | 318-557-4463 |                                 |                           |       |             |                    |                     | 2015-10-28 00:00:00 |         12 | Lemon Zester          | 2019 | scooter      |     349.99 | 2019-02-04 00:00:00   |                     |            14 |            0
          28 |           | Gradey          | Garrat               |        | ggarratr@bbb.org                          | M      | 142.66.49.37    | 515-439-0780 | 7 Moland Way                    | Des Moines                | IA    | 50936       |            41.6727 |            -93.5722 | 2018-03-26 00:00:00 |          7 | Bat                   | 2016 | scooter      |     599.99 | 2016-10-10 00:00:00   |                     |            -1 |            0
